[2025-11-25 16:01:24] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe-update_II', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-25 16:01:24] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe-update_II
[2025-11-25 16:01:31] Initializing Coconut with mode: residual
[2025-11-25 16:01:31] Running FSDP on rank = 0
[2025-11-25 16:06:14] {"epoch": 4, "step": 114, "loss": 1.091, "avg_alpha": 0.7175, "avg_norm": 534.8562, "avg_cosine": 0.9736, "reg_loss": 0.1278}
[2025-11-25 16:06:16] {"epoch": 4, "step": 115, "loss": 1.1787, "avg_alpha": 0.6732, "avg_norm": 535.7217, "avg_cosine": 0.9722, "reg_loss": 0.0989}
[2025-11-25 16:06:18] {"epoch": 4, "step": 116, "loss": 1.2142, "avg_alpha": 0.6975, "avg_norm": 556.6763, "avg_cosine": 0.9746, "reg_loss": 0.0807}
[2025-11-25 16:06:19] {"epoch": 4, "step": 117, "loss": 1.3623, "avg_alpha": 0.6766, "avg_norm": 534.3842, "avg_cosine": 0.9767, "reg_loss": 0.0965}
[2025-11-25 16:06:21] {"epoch": 4, "step": 118, "loss": 1.2867, "avg_alpha": 0.7286, "avg_norm": 560.4229, "avg_cosine": 0.9798, "reg_loss": 0.1025}
[2025-11-25 16:06:24] {"epoch": 4, "step": 119, "loss": 1.2173, "avg_alpha": 0.7132, "avg_norm": 538.6873, "avg_cosine": 0.982, "reg_loss": 0.092}
[2025-11-25 16:06:25] {"epoch": 4, "step": 120, "loss": 1.1561, "avg_alpha": 0.7444, "avg_norm": 573.4475, "avg_cosine": 0.9877, "reg_loss": 0.0893}
[2025-11-25 16:06:28] {"epoch": 4, "step": 121, "loss": 1.1468, "avg_alpha": 0.757, "avg_norm": 568.8929, "avg_cosine": 0.9612, "reg_loss": 0.0873}
[2025-11-25 16:06:31] {"epoch": 4, "step": 122, "loss": 1.1652, "avg_alpha": 0.7101, "avg_norm": 554.3568, "avg_cosine": 0.982, "reg_loss": 0.0993}
[2025-11-25 16:06:33] {"epoch": 4, "step": 123, "loss": 1.1184, "avg_alpha": 0.6382, "avg_norm": 502.2769, "avg_cosine": 0.972, "reg_loss": 0.0845}
